,filename,finding
0,auntminnie-a-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg.jpg,COVID-19
0,auntminnie-b-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg.jpg,COVID-19
0,auntminnie-c-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg.jpg,COVID-19
0,auntminnie-d-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg.jpg,COVID-19
0,nejmc2001573_f1a.jpeg.jpg,COVID-19
0,nejmc2001573_f1b.jpeg.jpg,COVID-19
0,lancet-case2a.jpg.jpg,COVID-19
0,lancet-case2b.jpg.jpg,COVID-19
0,1-s2.0-S0140673620303706-fx1_lrg.jpg.jpg,COVID-19
0,nCoV-radiol.2020200269.fig1-day7.jpeg.jpg,COVID-19
0,nejmoa2001191_f1-PA.jpeg.jpg,COVID-19
0,nejmoa2001191_f3-PA.jpeg.jpg,COVID-19
0,nejmoa2001191_f4.jpeg.jpg,COVID-19
0,nejmoa2001191_f5-PA.jpeg.jpg,COVID-19
0,ryct.2020200034.fig2.jpeg.jpg,COVID-19
0,ryct.2020200034.fig5-day0.jpeg.jpg,COVID-19
0,ryct.2020200034.fig5-day7.jpeg.jpg,COVID-19
0,ryct.2020200028.fig1a.jpeg.jpg,COVID-19
0,radiol.2020200490.fig3.jpeg.jpg,COVID-19
0,1-s2.0-S0929664620300449-gr2_lrg-a.jpg.jpg,COVID-19
0,1-s2.0-S0929664620300449-gr2_lrg-b.jpg.jpg,COVID-19
0,1-s2.0-S0929664620300449-gr2_lrg-c.jpg.jpg,COVID-19
0,1-s2.0-S0929664620300449-gr2_lrg-d.jpg.jpg,COVID-19
0,covid-19-pneumonia-15-PA.jpg.jpg,COVID-19
0,covid-19-pneumonia-2.jpg.jpg,COVID-19
0,covid-19-pneumonia-7-PA.jpg.jpg,COVID-19
0,covid-19-pneumonia-14-PA.png.jpg,COVID-19
0,covid-19-pneumonia-12.jpg.jpg,COVID-19
0,7C69C012-7479-493F-8722-ABC29C60A2DD.jpeg.jpg,COVID-19
0,8FDE8DBA-CFBD-4B4C-B1A4-6F36A93B7E87.jpeg.jpg,COVID-19
0,9C34AF49-E589-44D5-92D3-168B3B04E4A6.jpeg.jpg,COVID-19
0,F2DE909F-E19C-4900-92F5-8F435B031AC6.jpeg.jpg,COVID-19
0,31BA3780-2323-493F-8AED-62081B9C383B.jpeg.jpg,COVID-19
0,1312A392-67A3-4EBF-9319-810CF6DA5EF6.jpeg.jpg,COVID-19
0,23E99E2E-447C-46E5-8EB2-D35D12473C39.png.jpg,COVID-19
0,7AF6C1AF-D249-4BD2-8C26-449304105D03.jpeg.jpg,COVID-19
0,1B734A89-A1BF-49A8-A1D3-66FAFA4FAC5D.jpeg.jpg,COVID-19
0,CD50BA96-6982-4C80-AE7B-5F67ACDBFA56.jpeg.jpg,COVID-19
0,85E52EB3-56E9-4D67-82DA-DEA247C82886.jpeg.jpg,COVID-19
0,6CB4EFC6-68FA-4CD5-940C-BEFA8DAFE9A7.jpeg.jpg,COVID-19
0,01E392EE-69F9-4E33-BFCE-E5C968654078.jpeg.jpg,COVID-19
0,F63AB6CE-1968-4154-A70F-913AF154F53D.jpeg.jpg,COVID-19
0,93FE0BB1-022D-4F24-9727-987A07975FFB.jpeg.jpg,COVID-19
0,F4341CE7-73C9-45C6-99C8-8567A5484B63.jpeg.jpg,COVID-19
0,E63574A7-4188-4C8D-8D17-9D67A18A1AFA.jpeg.jpg,COVID-19
0,80446565-E090-4187-A031-9D3CEAA586C8.jpeg.jpg,COVID-19
0,all14238-fig-0001-m-b.jpg.jpg,COVID-19
0,all14238-fig-0001-m-c.jpg.jpg,COVID-19
0,1-s2.0-S1684118220300608-main.pdf-001.jpg.jpg,COVID-19
0,1-s2.0-S1684118220300608-main.pdf-002.jpg.jpg,COVID-19
0,ciaa199.pdf-001-a.png.jpg,COVID-19
0,ciaa199.pdf-001-b.png.jpg,COVID-19
0,ciaa199.pdf-001-c.png.jpg,COVID-19
0,kjr-21-e24-g001-l-a.jpg.jpg,COVID-19
0,kjr-21-e24-g002-l-a.jpg.jpg,COVID-19
0,kjr-21-e24-g003-l-a.jpg.jpg,COVID-19
0,1-s2.0-S1684118220300682-main.pdf-002-a1.png.jpg,COVID-19
0,1-s2.0-S1684118220300682-main.pdf-002-a2.png.jpg,COVID-19
0,1-s2.0-S1684118220300682-main.pdf-003-b2.png.jpg,COVID-19
0,gr1_lrg-a.jpg.jpg,COVID-19
0,gr1_lrg-b.jpg.jpg,COVID-19
0,FE9F9A5D-2830-46F9-851B-1FF4534959BE.jpeg.jpg,COVID-19
0,41591_2020_819_Fig1_HTML.webp-day5.png.jpg,COVID-19
0,41591_2020_819_Fig1_HTML.webp-day10.png.jpg,COVID-19
0,covid-19-pneumonia-19.jpg.jpg,COVID-19
0,kjr-21-e25-g001-l-a.jpg.jpg,COVID-19
0,03BF7561-A9BA-4C3C-B8A0-D3E585F73F3C.jpeg.jpg,COVID-19
0,353889E0-A1E8-4F9E-A0B8-F24F36BCFBFB.jpeg.jpg,COVID-19
0,figure1-5e75d0940b71e1b702629659-98-right.jpeg.jpg,COVID-19
0,figure1-5e71be566aa8714a04de3386-98-left.jpeg.jpg,COVID-19
0,2966893D-5DDF-4B68-9E2B-4979D5956C8E.jpeg.jpg,COVID-19
0,B2D20576-00B7-4519-A415-72DE29C90C34.jpeg.jpg,COVID-19
0,6C94A287-C059-46A0-8600-AFB95F4727B7.jpeg.jpg,COVID-19
0,6b44464d-73a7-4cf3-bbb6-ffe7168300e3.annot.original.jpeg.jpg,COVID-19
0,9fdd3c3032296fd04d2cad5d9070d4_jumbo.jpeg.jpg,COVID-19
0,covid-19-pneumonia-rapidly-progressive-admission.jpg.jpg,COVID-19
0,covid-19-pneumonia-rapidly-progressive-12-hours.jpg.jpg,COVID-19
0,covid-19-pneumonia-rapidly-progressive-3-days.jpg.jpg,COVID-19
0,covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-admission.jpg.jpg,COVID-19
0,covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-1.jpg.jpg,COVID-19
0,covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-2.jpg.jpg,COVID-19
0,covid-19-infection-exclusive-gastrointestinal-symptoms-pa.png.jpg,COVID-19
0,covid-19-pneumonia-28.png.jpg,COVID-19
0,1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-000-fig1a.png.jpg,COVID-19
0,1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-000-fig1b.png.jpg,COVID-19
